İstanbul;(78. Yarış Günü);12/10/2025
7;LORD OF DRAGON K DB;2y d  e;VICTORY GALLOP (CAN);SEDDIFI;53;S.TIRPAN;ADİL EREN;M.ÖZGÜL;6;%3.17(8)  %3.3(8);35;K6Ç5K4Ç3Ç2Ç2;9;19;
8;NOBLE STRENGTH K;2y d  e;VICTOIRE PISA (JPN);MANAROLA;53 +1.90;V.ABİŞ;LALE M. ATMAN;MET.ACAR;1;%21.65(1)  %22.48(1);53;Ç6Ç3Ç1Ç3;30;19;
9;RUZYM SK;2y d  d;KING DAVID (USA);DENİZYELE;52 +2.00;B.M.MIRIK;UĞUR TOKA;S.YANMAZ;9 - DS;%2.65(9)  %3.08(9);45;K1K3Ç3S5;23;17;
2. 6'LI GANYAN Bu koşudan başlar;4. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ

5. Kosu :  KEMAL ARARAT KOŞUSU 16.00;KV-7/DHÖW/Dişi; 3 Yaşlı Araplar; 57.00kg; 1300m; Sentetik;;;;Rekor Derece :1.23.86
İkramiye;;;;;Yetiştirici Primi;;;;
1.)700.000 TL;2.)280.000 TL;3.)140.000 TL;4.)70.000 TL;5.)35.000 TL;1.)210.000 TL;2.)84.000 TL;3.)42.000 TL;4.)21.000 TL;5.)10.500 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;AYSERA KIZ SK;3y k  d;TURBO;ESİNİM;59;M.AKYAVUZ;SEMİH KATI;C.KATI;6;%24.12(1)  %21.83(1);70;Ç3Ç1Ç6Ç8Ç4Ç3;23;16;
2;SEMRAKAYA KG K;3y k  d;YÜREKKAYA;ANAYA (FR);59;S.KAYA;AHMET KAYA;E.KAYA;3;%18.96(2)  %17.98(2);62;Ç2S9Ç2S1Ç3Ç7;9;18;
3;FISTIK ÇAMI KG DB SK;3y a  d;ÖZHABER;YALNIZ ÇAM;57;A.YILDIZ;SEDAT YILDIRIM;Y.ÖZTAŞ;7;%6.06(6)  %7.13(6);54;Ç1K1Ç7K2K7Ç8;23;16;
